"ID Number","Start Day","Start Month","Start Year","End Day","End Month","End Year","Outcome","Settlement","Fatality Level","MaxDur","MinDur","HiAct","HostLev","Recip","SideA","SideB","Version"
1238,26,9,1947,1,1,1949,1,1,6,464,464,22,5,-1,1,1,2.1
1240,18,6,1923,5,11,1923,4,3,0,141,141,7,3,0,1,1,2.1
1241,21,10,1925,29,10,1925,5,1,-9,9,9,18,4,-1,1,1,2.1
1243,10,3,1938,20,3,1938,3,3,1,11,11,18,4,-1,1,1,2.1
1244,24,4,1938,2,10,1938,3,1,0,162,162,19,4,-1,1,1,2.1
1245,24,9,1938,30,9,1938,5,3,0,7,7,7,3,0,1,1,2.1
1246,13,10,1938,2,11,1938,1,1,-9,21,21,18,4,-1,1,1,2.1
1247,15,3,1939,23,3,1939,6,1,0,9,9,7,3,-1,1,1,2.1
1249,-9,8,1909,-9,8,1909,5,3,0,31,1,8,3,0,1,1,2.1
1250,3,9,1912,19,4,1913,1,2,6,229,229,22,5,-1,3,1,2.1
1251,18,4,1913,29,8,1913,1,2,6,134,134,22,5,-1,4,1,2.1
1255,12,6,1915,-9,2,1916,5,3,2,262,235,18,4,-1,1,1,2.1
1257,2,1,1918,9,3,1918,1,1,-9,67,67,19,4,-1,1,1,2.1
1262,15,9,1918,5,11,1918,4,2,0,52,52,16,4,0,3,1,2.1
1263,-9,11,1918,-9,11,1918,5,3,1,30,1,18,4,-1,1,1,2.1
1265,20,3,1919,18,8,1919,1,2,6,152,152,22,5,-1,6,1,2.1
1268,23,1,1919,1,2,1919,6,1,-9,10,10,18,4,-1,1,1,2.1
1269,15,3,1919,15,12,1919,2,1,2,276,276,19,4,-1,1,4,2.1
1270,4,5,1919,11,10,1922,2,4,6,1257,1257,22,5,-1,1,1,2.1
1272,15,7,1920,1,12,1920,1,1,6,140,140,22,5,-1,1,2,2.1
1273,15,3,1921,20,10,1921,6,1,-9,220,220,18,4,-1,1,1,2.1
1274,5,10,1908,19,4,1909,3,1,0,197,197,19,4,-1,1,1,2.1
1278,-9,1,1958,-9,1,1958,5,3,0,31,1,2,2,0,1,1,2.1
1279,25,12,1963,10,8,1964,5,1,2,230,230,18,4,-1,1,1,2.1
1280,16,11,1967,1,12,1967,6,1,0,16,16,9,3,0,1,2,2.1
1284,1,8,1948,13,8,1948,5,3,2,13,13,19,4,-1,1,1,2.1
1285,8,8,1949,13,8,1949,5,3,2,6,6,19,4,-1,1,1,2.1
1286,13,8,1949,24,11,1951,5,1,2,834,834,19,4,-1,4,2,2.1
1289,3,6,1976,1,9,1976,5,3,0,91,91,10,3,-1,1,1,2.1
1290,8,1,1975,8,1,1975,5,3,0,1,1,2,2,0,1,1,2.1
1292,29,3,1974,29,5,1974,5,3,0,62,62,10,3,-1,1,1,2.1
1293,15,7,1974,16,8,1974,1,2,6,33,33,22,5,-1,1,2,2.1
1295,26,7,1952,13,8,1952,2,2,1,19,19,19,4,-1,1,1,2.1
1300,7,5,1955,12,7,1955,5,3,1,67,67,18,4,-1,1,1,2.1
1301,17,2,1956,26,3,1956,5,3,1,39,39,18,4,-1,1,1,2.1
1302,11,3,1958,26,8,1958,6,1,2,169,169,18,4,-1,1,1,2.1
1303,23,9,1960,-9,10,1960,5,3,0,39,9,18,4,-1,1,1,2.1
1304,19,5,1961,3,9,1961,5,3,3,108,108,18,4,-1,1,1,2.1
1305,29,3,1955,4,5,1955,5,1,0,37,37,12,3,-1,1,1,2.1
1306,17,6,1950,5,10,1950,5,3,3,111,111,18,4,-1,1,1,2.1
1307,-9,3,1949,-9,6,1949,5,3,0,122,63,19,4,-1,1,1,2.1
1308,23,2,1950,13,6,1950,5,3,2,111,111,18,4,-1,1,1,2.1
